Year,Country,Industry,CO2_rate,GHG_rate
1990,DZA,c1,0.0420460124473052,0.0772630993551726
1990,DZA,c2,0.002372239338198597,0
1990,DZA,c3,0.4048734015655806,0.2943949218425367
1990,DZA,c4,0.0716588497326304,0.10899405791736236
1990,DZA,c5,0.01513490381848234,0.020036644574308142
1990,DZA,c6,0.04131735622864652,0.0545535446147279
1990,DZA,c7,0.1580060975944452,0.16499767916909058
1990,DZA,c8,0.049985582450168625,0.06026472464509938
1990,DZA,c9,0.1286842364854253,0.18084272132652365
1990,DZA,c10,0.05931240006052412,0
1990,DZA,c11,0.019899762534711752,0.027974364380368835
1990,DZA,c12,0.00670915774388132,0.010678242174809801
1990,DZA,c13,0.24076753801331277,1
1990,DZA,c14,0.07215661815369842,0
1990,DZA,c15,0.002595498447281236,0
1990,DZA,c16,0.05233849836351587,0
1990,DZA,c17,0.04801518066664772,0
1990,DZA,c18,0.03317879730668671,0
1990,DZA,c19,0.033986469274318365,1.2110991105463788e-17
1990,DZA,c20,0.04324060685150053,0
1990,DZA,c21,0.285574101931926,0
1990,DZA,c22,0.07768816591253502,0
1990,DZA,c23,0.1040767059004397,0
1990,DZA,c24,0.0016036615371600653,4.95566709021601e-19
1990,DZA,c25,0.00477815764097759,1.0368373570520965e-18
1990,AGO,c1,0.040687281917102615,0.06428933692985077
1990,AGO,c2,0.002190813332005299,0
1990,AGO,c3,0.3181821588907741,0.20680323524293676
1990,AGO,c4,0.08293216568935884,0.10777430847121722
1990,AGO,c5,0.018660272886691618,0.024102846318215573
1990,AGO,c6,0.056080615195292595,0.07701266376461158
1990,AGO,c7,0.1537833629378534,0.19173749643564045
1990,AGO,c8,0.06421633447627242,0.08333584838764939
1990,AGO,c9,0.16233946100948066,0.20764411368799512
1990,AGO,c10,0.07191285635683069,0
1990,AGO,c11,0.023775807960870074,0.030543803097739644
1990,AGO,c12,0.005238869347467571,0.006756347664143561
1990,AGO,c13,0.06121767009804285,1
1990,AGO,c14,0.07827424997999617,0
1990,AGO,c15,0.0025775175887284793,0
1990,AGO,c16,0.06030175036778785,0
1990,AGO,c17,0.048185342330806645,0
1990,AGO,c18,0.037653669434690284,0
1990,AGO,c19,0.05354122634989255,1.1691296296296295e-17
1990,AGO,c20,0.04917222797104239,0
1990,AGO,c21,0.3481209739529966,0
1990,AGO,c22,0.1110343349027053,0
1990,AGO,c23,0.14406079726089968,0
1990,AGO,c24,0.0016488980238636146,3.456509259259259e-19
1990,AGO,c25,0.004211341738547624,8.515296296296296e-19
1990,ARG,c1,0.05766085229737928,0.14166597174453788
1990,ARG,c2,0.0020606250073607825,0.005382424752464644
1990,ARG,c3,0.022458156677288257,0.053017759886351164
1990,ARG,c4,0.10467960343196765,0.25641760181643747
1990,ARG,c5,0.03345435390450953,0.08202969023940947
1990,ARG,c6,0.02729811830821235,0.06615000686152142
1990,ARG,c7,0.32977522378378626,0.1859878597633162
1990,ARG,c8,0.14278209159068994,0.06677739824187967
1990,ARG,c9,0.1325299704974847,0.06036957810302835
1990,ARG,c10,0.13797898709048464,0.05949378076738904
1990,ARG,c11,0.00875871394713019,0.02139238263748056
1990,ARG,c12,5.633034637063954e-4,0.0013155451861841033
1990,ARG,c13,0.31014650861916937,0.03707036110382167
1990,ARG,c14,0.3368016943752098,0.10336232784788425
1990,ARG,c15,0.0015344004035840145,0.0035121340257080677
1990,ARG,c16,0.021684515136774555,0.049350193515769476
1990,ARG,c17,0.042773642090340236,0.09808695755444931
1990,ARG,c18,0.02102436543188331,0.0477666429550274
1990,ARG,c19,0.01294039657280959,0.08378171438347418
1990,ARG,c20,0.015416226562324628,0.03438223705332643
1990,ARG,c21,0.11058969913869546,0.2527951653765835
1990,ARG,c22,0.036549373444222794,0.08311083846024987
1990,ARG,c23,0.08303874514611295,0.18932223281495844
1990,ARG,c24,2.6043234142170853e-5,6.0622325935601415e-5
1990,ARG,c25,0.007474389844731221,0.017398572582811783
1990,AUS,c1,0.046298479741841106,0.09875290870183853
1990,AUS,c2,0.003637674753962691,0.006754866701540658
1990,AUS,c3,0.18123710141939645,0.12582058470396573
1990,AUS,c4,0.0675658995911049,0.16375093007726735
1990,AUS,c5,0.017585795518452702,0.0515344387981473
1990,AUS,c6,0.036410502766756,0.076625971106814
1990,AUS,c7,0.19170664435586235,0.13751321059263374
1990,AUS,c8,0.17643545425107296,0.1411706093696321
1990,AUS,c9,0.11997421100647336,0.08527795092101481
1990,AUS,c10,0.11735485960652006,0.08432568388162455
1990,AUS,c11,0.039372964527607864,0.02751900074457316
1990,AUS,c12,0.0024204124609495063,9.538444009481217e-4
1990,AUS,c13,0.6339392106445108,0.04054384232454888
1990,AUS,c14,0.03702399483757871,0.10155845440879328
1990,AUS,c15,0.0011108655681278579,0.0027939883887389966
1990,AUS,c16,0.028469809383521057,0.07160757440129623
1990,AUS,c17,0.022851721597041654,0.05747411078771116
1990,AUS,c18,0.01325701504145942,0.04387518236112722
1990,AUS,c19,0.013253580492626172,0.07350262711443037
1990,AUS,c20,0.015106666783114227,0.034179071646364016
1990,AUS,c21,0.15689509720116654,0.3176122348738995
1990,AUS,c22,0.02126554881588041,0.08268655123201771
1990,AUS,c23,0.05511273317765342,0.17035818429565885
1990,AUS,c24,5.645171657278736e-4,0.0014844364178122828
1990,AUS,c25,0.0011492392915919203,0.0023237417476014563
