Year,Country_s,Country_r,Industry_i,Industry_j,BT_demand,BT_supply
2005,AFG,AFG,goods,goods,3.4768392408070956,0.6807588529465315
2005,AFG,AFG,goods,services,10.143409073525612,0.2944363827905259
2005,AFG,AFG,services,goods,10.143409073525612,0.2944363827905259
2005,AFG,AFG,services,services,4.713982948319836,0.625070139462437
2005,AFG,ALB,goods,goods,4.247688061078111e-4,8.89473150209275e-5
2005,AFG,ALB,goods,services,7.691980140349761e-5,1.5989757253351742e-5
2005,AFG,ALB,services,goods,3.008213505027922e-4,2.0109554642086592e-5
2005,AFG,ALB,services,services,5.7965475086808535e-5,7.981341554817915e-6
2005,AFG,DZA,goods,goods,2.6524204029537266e-5,1.3055170278794404e-5
2005,AFG,DZA,goods,services,2.6527137793686765e-5,1.1490672066403688e-5
2005,AFG,DZA,services,goods,8.990607874196778e-6,5.05144233157698e-6
2005,AFG,DZA,services,services,8.796092294525906e-6,4.545202499166091e-6
2005,AFG,AND,goods,goods,3.763773039558813e-4,2.9909950842071462e-5
2005,AFG,AND,goods,services,5.6089318395814364e-5,1.8747336934170507e-5
2005,AFG,AND,services,goods,2.2776246711392085e-4,2.4489638948526994e-5
2005,AFG,AND,services,services,2.9925064995304002e-5,1.177309815163358e-5
2005,AFG,AGO,goods,goods,3.304487551019077e-5,1.5961115446479974e-5
2005,AFG,AGO,goods,services,4.129490878559566e-5,1.7857817628356217e-5
2005,AFG,AGO,services,goods,1.4760986050590068e-5,7.520434310407864e-6
2005,AFG,AGO,services,services,1.4496445176469335e-5,7.2807289152484724e-6
2005,ALB,AFG,goods,goods,4.247688061078111e-4,8.89473150209275e-5
2005,ALB,AFG,goods,services,3.008213505027922e-4,2.0109554642086592e-5
2005,ALB,AFG,services,goods,7.691980140349761e-5,1.5989757253351742e-5
2005,ALB,AFG,services,services,5.7965475086808535e-5,7.981341554817915e-6
2005,ALB,ALB,goods,goods,8.100353383250745,0.4905990443437604
2005,ALB,ALB,goods,services,33.39577207831149,0.28117529115854034
2005,ALB,ALB,services,goods,33.39577207831149,0.28117529115854034
2005,ALB,ALB,services,services,6.5218924882235765,0.4167756372406236
2005,ALB,DZA,goods,goods,8.172851742936528e-5,1.1054900236352313e-5
2005,ALB,DZA,goods,services,9.831662603848147e-5,1.1806659382292557e-5
2005,ALB,DZA,services,goods,1.5333638567858012e-5,4.125625304995785e-6
2005,ALB,DZA,services,services,1.7214297585057495e-5,4.166373291946606e-6
2005,ALB,AND,goods,goods,6.664816808906391e-4,4.103974833762159e-5
2005,ALB,AND,goods,services,4.012641696117647e-4,2.17452096374697e-5
