Year,Country_s,Country_r,Industry_i,Industry_j,BT_demand,BT_supply
2020,AFG,AFG,goods,goods,2.457962329987277,0.5289217388829366
2020,AFG,AFG,goods,services,4.239342200417182,0.25758542417930574
2020,AFG,AFG,services,goods,4.239342200417182,0.25758542417930574
2020,AFG,AFG,services,services,5.627437921880813,0.6555309243901029
2020,AFG,ALB,goods,goods,2.0323191953844957e-4,2.2049650217936736e-4
2020,AFG,ALB,goods,services,1.1114123095352094e-4,3.23168482189028e-5
2020,AFG,ALB,services,goods,1.1549818618397434e-4,4.805693897499046e-5
2020,AFG,ALB,services,services,8.429758483756326e-5,1.9528373393896105e-5
2020,AFG,DZA,goods,goods,2.4108953485442738e-5,1.4155562405646757e-5
2020,AFG,DZA,goods,services,2.1549328485790746e-5,7.3070854595308895e-6
2020,AFG,DZA,services,goods,1.4799936565583056e-5,6.692719296284739e-6
2020,AFG,DZA,services,services,1.3707171657842647e-5,4.2072596348552655e-6
2020,AFG,AND,goods,goods,6.59133266856746e-4,3.047160172573328e-5
2020,AFG,AND,goods,services,5.661056254115296e-5,2.7934563809151795e-5
2020,AFG,AND,services,goods,3.8424603331120447e-4,2.034960663703254e-5
2020,AFG,AND,services,services,4.055850117397064e-5,1.6226170055155098e-5
2020,AFG,AGO,goods,goods,3.3943824498922454e-5,2.0269791291848477e-5
2020,AFG,AGO,goods,services,4.7438865175172046e-5,1.9817384562032118e-5
2020,AFG,AGO,services,goods,2.404002176554032e-5,1.20848386315205e-5
2020,AFG,AGO,services,services,3.190969231299274e-5,1.1724305802586878e-5
2020,ALB,AFG,goods,goods,2.0323191953844957e-4,2.2049650217936736e-4
2020,ALB,AFG,goods,services,1.1549818618397434e-4,4.805693897499046e-5
2020,ALB,AFG,services,goods,1.1114123095352094e-4,3.23168482189028e-5
2020,ALB,AFG,services,services,8.429758483756326e-5,1.9528373393896105e-5
2020,ALB,ALB,goods,goods,1.0341847038865022,0.3395046246155987
2020,ALB,ALB,goods,services,3.8537886908881296,0.25175712985670273
2020,ALB,ALB,services,goods,3.8537886908881296,0.25175712985670273
2020,ALB,ALB,services,services,5.499805231898661,0.573280330032357
2020,ALB,DZA,goods,goods,1.3941118758948928e-5,9.103542471959318e-6
2020,ALB,DZA,goods,services,1.6912172401258603e-5,5.751970427273962e-6
2020,ALB,DZA,services,goods,1.49493220168779e-5,5.626369206300002e-6
2020,ALB,DZA,services,services,1.6063416750497043e-5,4.078656026890975e-6
2020,ALB,AND,goods,goods,0.0026939575876311207,1.548265376975508e-4
2020,ALB,AND,goods,services,1.7845665121192956e-4,6.892316575387622e-5
2020,ALB,AND,services,goods,0.0023887419903961126,1.3990713710078037e-4
2020,ALB,AND,services,services,2.1571011365430432e-4,5.7802708141221267e-5
2020,ALB,AGO,goods,goods,9.89559022841222e-5,3.455507425540802e-5
2020,ALB,AGO,goods,services,1.366268698834973e-4,2.8902792808568993e-5
2020,ALB,AGO,services,goods,9.67496702096149e-5,2.0977771956486482e-5
2020,ALB,AGO,services,services,1.223511141744218e-4,1.705558848688171e-5
2020,DZA,AFG,goods,goods,2.4108953485442738e-5,1.4155562405646757e-5
2020,DZA,AFG,goods,services,1.4799936565583056e-5,6.692719296284739e-6
2020,DZA,AFG,services,goods,2.1549328485790746e-5,7.3070854595308895e-6
2020,DZA,AFG,services,services,1.3707171657842647e-5,4.2072596348552655e-6
2020,DZA,ALB,goods,goods,1.3941118758948928e-5,9.103542471959318e-6
2020,DZA,ALB,goods,services,1.49493220168779e-5,5.626369206300002e-6
2020,DZA,ALB,services,goods,1.6912172401258603e-5,5.751970427273962e-6
2020,DZA,ALB,services,services,1.6063416750497043e-5,4.078656026890975e-6
2020,DZA,DZA,goods,goods,0.9304004642705601,0.3000205892129259
2020,DZA,DZA,goods,services,2.4857501273507863,0.19730221752901536
2020,DZA,DZA,services,goods,2.4857501273507863,0.19730221752901536
2020,DZA,DZA,services,services,3.6748291325733504,0.3586462994271461
2020,DZA,AND,goods,goods,5.975868506307176e-4,4.4317470729653705e-5
2020,DZA,AND,goods,services,2.12325168112657e-5,1.267423165392993e-5
2020,DZA,AND,services,goods,4.508948527221721e-4,2.6091545867983324e-5
2020,DZA,AND,services,services,2.805304077396376e-5,1.2849203656639333e-5
2020,DZA,AGO,goods,goods,4.5267866251660825e-6,4.7784742272501295e-6
2020,DZA,AGO,goods,services,4.434523224240127e-6,3.1789867011557138e-6
2020,DZA,AGO,services,goods,4.683792913444876e-6,2.4944446158115193e-6
2020,DZA,AGO,services,services,3.988609712842779e-6,1.938408936365594e-6
2020,AND,AFG,goods,goods,6.59133266856746e-4,3.047160172573328e-5
2020,AND,AFG,goods,services,3.8424603331120447e-4,2.034960663703254e-5
2020,AND,AFG,services,goods,5.661056254115296e-5,2.7934563809151795e-5
2020,AND,AFG,services,services,4.055850117397064e-5,1.6226170055155098e-5
2020,AND,ALB,goods,goods,0.0026939575876311207,1.548265376975508e-4
2020,AND,ALB,goods,services,0.0023887419903961126,1.3990713710078037e-4
2020,AND,ALB,services,goods,1.7845665121192956e-4,6.892316575387622e-5
2020,AND,ALB,services,services,2.1571011365430432e-4,5.7802708141221267e-5
2020,AND,DZA,goods,goods,5.975868506307176e-4,4.4317470729653705e-5
2020,AND,DZA,goods,services,4.508948527221721e-4,2.6091545867983324e-5
2020,AND,DZA,services,goods,2.12325168112657e-5,1.267423165392993e-5
2020,AND,DZA,services,services,2.805304077396376e-5,1.2849203656639333e-5
2020,AND,AND,goods,goods,30.00855369666366,0.7126110901230374
2020,AND,AND,goods,services,174.04180338746497,0.3932035090258162
2020,AND,AND,services,goods,174.04180338746497,0.3932035090258162
2020,AND,AND,services,services,2.461662039259033,0.6320086598852325
2020,AND,AGO,goods,goods,0.0016259226026864003,1.2006997157261132e-4
2020,AND,AGO,goods,services,0.0018431796647782714,1.2063547439306831e-4
2020,AND,AGO,services,goods,3.4252243010617376e-5,4.481207278169599e-5
2020,AND,AGO,services,services,5.979747979199355e-5,4.260438003880298e-5
2020,AGO,AFG,goods,goods,3.3943824498922454e-5,2.0269791291848477e-5
2020,AGO,AFG,goods,services,2.404002176554032e-5,1.20848386315205e-5
